Caixa;Localização/Tipo;Projeto/Categoria;Descrição;Data/Período;Obs;
95;Prado Chaves – Diretoria 8º andar;Solarium;Pastas Suspensas: Solarium - Processo Marca SPA (2 pastas) / Atas de Reuniões (junho de 1983 a abril de 1989)/ Diagnóstico Hotel Solarium (Junho 1992)/ Laudo de Avaliação - Adviser Consultores (1993);1983 a 1993;;
96;Prado Chaves – Diretoria 8º andar;Múltiplos projetos;Lorenzo Carrasco - 25 Livros Máfia Verde / 15 livros A Hora da Hidrovia / 07 livros Terror Contra o Estado Nacional;-; ;
97;Prado Chaves – Diretoria 8º andar;Não identificado;Fiabci / Prêmios Master (2006 a 2008 - Pastas de Avaliação) / Correspondências Expedidas e Recebidas 2009 / Correspondências Expedidas e Recebidas 1994 e Documentos antigos Salinha;-; ;
98;Prado Chaves – Diretoria 8º andar;Secovi;Secovi PL 2057 / Correspondências Recebidas e Expedidas 2008 e 2009 / Desafios (Denis Rosenfield) / Sumario Executivo ;-; ;
99;Prado Chaves – Diretoria 8º andar;Não identificado;Lorenzo Carrasco - Alerta Científico e Resenha Estratégica (2008 a 2009) / Ação Comunitária do Brasil - Correspondências Recebidas(2001 a 2009);-; ;
100;Prado Chaves – Diretoria 8º andar;Não identificado;Riviera - Diários de Obra;-; ;
101;Prado Chaves – Diretoria 8º andar;Agendas Leico;Agendas Leico;1996 a 2008; ;
102;Prado Chaves – Diretoria 8º andar;Múltiplos projetos;Análise Financeira (2009 a 2010) / Sobloco Correspondências Recebidas e Expedidas 2008 a 2010 / Protocolos 2000 a 2009;2000 a 2010; ;
103;Prado Chaves – Diretoria 8º andar;Não identificado;Agendas Secretárias Dr. Carlos F. Mello;1996 a 2010;;
104;Prado Chaves – Diretoria 8º andar;Múltiplos projetos; FIABCI - Correspondências expedidas e recebidas (2010) / Dr. Luiz Carlos - Correspondências expedidas e recebidas (2007 a 2009) / Dr. Luiz Carlos - Club Paulistano (2006 a 2010) ;2006 a 2010; ;
